id,name,shop_url,agb_url;;;;;;
228,Shop-Apotheke Service B.V,www.shop-apotheke.com,https://www.shop-apotheke.com/versandapotheke_agb.htm;;;;;;
229,Versandapotheke DocMorris N.V.,www.docmorris.de,https://www.docmorris.de/service/bestellung/agb;;;;;;
230,Foto Wöhrstein OHG,foto-woehrstein.de,http://foto-woehrstein.de/shop/de/unsere-agb;;;;;;
231,Caseking GmbH,www.caseking.de,https://www.caseking.de/agb;;;;;;
232,NeS GmbH,www.gratenxxl.de,https://www.gartenxxl.de/is-bin/INTERSHOP.enfinity/WFS/Plus-GartenXXLDE-Site/de_DE/-/EUR/ViewStandardCatalog-ByName?CategoryName=agb&CategoryDomainNameSuffix=InformationPages;;;;;;
233,ad 3000 moebelconcept e. k.,www.moebelconcept24.de,https://www.moebelconcept24.de/agb.html;;;;;;
234,Boomstore GmbH &amp; Co. KG,www.boomstore.de,https://www.boomstore.de/AGB/;;;;;
235,Power-IT UG (haftungsbeschränkt),planet-notebook.de,http://planet-notebook.de/conditions.php?osCsid=b90e6b08dd4f983d1f2ce25a0d9d829c;;;;;;
236,Otto (GmbH &amp; Co KG),www.neckermann.de,https://www.neckermann.de/service/agb;;;;;
237,Tito-Express,shop.tito-express.de,https://shop.tito-express.de/Conditions;;;;;;
